1;Guardians of the Galaxy;76
2;Prometheus;65
3;Split;62
4;Sing;59
5;Suicide Squad;40
6;The Great Wall;42
7;La La Land;93
8;Mindhorn;71
9;The Lost City of Z;78
10;Passengers;41
11;Fantastic Beasts and Where to Find Them;66
12;Hidden Figures;74
13;Rogue One;65
14;Moana;81
15;Colossal;70
16;The Secret Life of Pets;61
17;Hacksaw Ridge;71
18;Jason Bourne;58
19;Lion;69
20;Arrival;81
21;Gold;49
22;Manchester by the Sea;96
23;Hounds of Love;72
24;Trolls;56
25;Independence Day: Resurgence;32
26;Paris pieds nus;
27;Bahubali: The Beginning;
28;Dead Awake;
29;Bad Moms;60
30;Assassin's Creed;36
31;Why Him?;39
32;Nocturnal Animals;67
33;X-Men: Apocalypse;52
34;Deadpool;65
35;Resident Evil: The Final Chapter;49
36;Captain America: Civil War;75
37;Interstellar;74
38;Doctor Strange;72
39;The Magnificent Seven;54
40;5- 25- 77;
41;Sausage Party;66
42;Moonlight;99
43;Don't Fuck in the Woods;
44;The Founder;66
45;Lowriders;57
46;Pirates of the Caribbean: On Stranger Tides;45
47;Miss Sloane;64
48;Fallen;
49;Star Trek Beyond;68
50;The Last Face;16
51;Star Wars: Episode VII - The Force Awakens;81
52;Underworld: Blood Wars;23
53;Mother's Day;18
54;John Wick;68
55;The Dark Knight;82
56;Silence;79
57;Don't Breathe;71
58;Me Before You;51
59;Their Finest;76
60;Sully;74
61;Batman v Superman: Dawn of Justice;44
62;The Autopsy of Jane Doe;65
63;The Girl on the Train;48
64;Fifty Shades of Grey;46
65;The Prestige;66
66;Kingsman: The Secret Service;58
67;Patriots Day;69
68;Mad Max: Fury Road;90
69;Wakefield;61
70;Deepwater Horizon;68
71;The Promise;49
72;Allied;60
73;A Monster Calls;76
74;Collateral Beauty;23
75;Zootopia;78
76;Pirates of the Caribbean: At World's End;50
77;The Avengers;69
78;Inglourious Basterds;69
79;Pirates of the Caribbean: Dead Man's Chest;53
80;Ghostbusters;60
81;Inception;74
82;Captain Fantastic;72
83;The Wolf of Wall Street;75
84;Gone Girl;79
85;Furious Seven;67
86;Jurassic World;59
87;Live by Night;49
88;Avatar;83
89;The Hateful Eight;68
90;The Accountant;51
91;Prisoners;74
92;Warcraft;32
93;The Help;62
94;War Dogs;57
95;Avengers: Age of Ultron;66
96;The Nice Guys;70
97;Kimi no na wa;79
98;The Void;62
99;Personal Shopper;77
100;The Departed;85
101;Legend;55
102;Thor;57
103;The Martian;80
104;Contratiempo;
105;The Man from U.N.C.L.E.;56
106;Hell or High Water;88
107;The Comedian;40
108;The Legend of Tarzan;44
109;All We Had;48
110;Ex Machina;78
111;The Belko Experiment;44
112;12 Years a Slave;96
113;The Bad Batch;65
114;300;52
115;Harry Potter and the Deathly Hallows: Part 2;87
116;Office Christmas Party;42
117;The Neon Demon;51
118;Dangal;
119;10 Cloverfield Lane;76
120;Finding Dory;77
121;Miss Peregrine's Home for Peculiar Children;57
122;Divergent;48
123;Mike and Dave Need Wedding Dates;51
124;Boyka: Undisputed IV;
125;The Dark Knight Rises;78
126;The Jungle Book;77
127;Transformers: Age of Extinction;32
128;Nerve;58
129;Mamma Mia!;51
130;The Revenant;76
131;Fences;79
132;Into the Woods;69
133;The Shallows;59
134;Whiplash;88
135;Furious 6;61
136;The Place Beyond the Pines;68
137;No Country for Old Men;91
138;The Great Gatsby;55
139;Shutter Island;63
140;Brimstone;44
141;Star Trek;82
142;Diary of a Wimpy Kid;56
143;The Big Short;81
144;Room;86
145;Django Unchained;81
146;Ah-ga-ssi;84
147;The Edge of Seventeen;77
148;Watchmen;56
149;Superbad;76
150;Inferno;42
151;The BFG;66
152;The Hunger Games;68
153;White Girl;65
154;Sicario;82
155;Twin Peaks: The Missing Pieces;
156;Aliens vs Predator - Requiem;29
157;Pacific Rim;64
158;Crazy, Stupid, Love.;68
159;Scott Pilgrim vs. the World;69
160;Hot Fuzz;81
161;Mine;40
162;Free Fire;63
163;X-Men: Days of Future Past;74
164;Jack Reacher: Never Go Back;47
165;Casino Royale;80
166;Twilight;56
167;Now You See Me 2;46
168;Woman in Gold;51
169;13 Hours;48
170;Spectre;60
171;Nightcrawler;76
172;Kubo and the Two Strings;84
173;Beyond the Gates;59
