1;Guardians of the Galaxy;1
2;Prometheus;1
3;Split;1
4;Sing;1
5;Suicide Squad;0
6;The Great Wall;0
7;La La Land;1
8;Mindhorn;1
9;The Lost City of Z;1
10;Passengers;0
11;Fantastic Beasts and Where to Find Them;1
12;Hidden Figures;1
13;Rogue One;1
14;Moana;1
15;Colossal;1
16;The Secret Life of Pets;1
17;Hacksaw Ridge;1
18;Jason Bourne;1
19;Lion;1
20;Arrival;1
21;Gold;0
22;Manchester by the Sea;1
23;Hounds of Love;1
24;Trolls;1
25;Independence Day: Resurgence;0
26;Paris pieds nus;0
27;Bahubali: The Beginning;0
28;Dead Awake;0
29;Bad Moms;1
30;Assassin's Creed;0
31;Why Him?;0
32;Nocturnal Animals;1
33;X-Men: Apocalypse;0
34;Deadpool;1
35;Resident Evil: The Final Chapter;0
36;Captain America: Civil War;1
37;Interstellar;1
38;Doctor Strange;1
39;The Magnificent Seven;0
40;5- 25- 77;0
41;Sausage Party;1
42;Moonlight;1
43;Don't Fuck in the Woods;0
44;The Founder;1
45;Lowriders;1
46;Pirates of the Caribbean: On Stranger Tides;0
47;Miss Sloane;1
48;Fallen;0
49;Star Trek Beyond;1
50;The Last Face;0
51;Star Wars: Episode VII - The Force Awakens;1
52;Underworld: Blood Wars;0
53;Mother's Day;0
54;John Wick;1
55;The Dark Knight;1
56;Silence;1
57;Don't Breathe;1
58;Me Before You;0
59;Their Finest;1
60;Sully;1
61;Batman v Superman: Dawn of Justice;0
62;The Autopsy of Jane Doe;1
63;The Girl on the Train;0
64;Fifty Shades of Grey;0
65;The Prestige;1
66;Kingsman: The Secret Service;1
67;Patriots Day;1
68;Mad Max: Fury Road;1
69;Wakefield;1
70;Deepwater Horizon;1
71;The Promise;0
72;Allied;1
73;A Monster Calls;1
74;Collateral Beauty;0
75;Zootopia;1
76;Pirates of the Caribbean: At World's End;0
77;The Avengers;1
78;Inglourious Basterds;1
79;Pirates of the Caribbean: Dead Man's Chest;0
80;Ghostbusters;1
81;Inception;1
82;Captain Fantastic;1
83;The Wolf of Wall Street;1
84;Gone Girl;1
85;Furious Seven;1
86;Jurassic World;1
87;Live by Night;0
88;Avatar;1
89;The Hateful Eight;1
90;The Accountant;0
91;Prisoners;1
92;Warcraft;0
93;The Help;1
94;War Dogs;1
95;Avengers: Age of Ultron;1
96;The Nice Guys;1
97;Kimi no na wa;1
98;The Void;1
99;Personal Shopper;1
100;The Departed;1
101;Legend;1
102;Thor;1
103;The Martian;1
104;Contratiempo;0
105;The Man from U.N.C.L.E.;1
106;Hell or High Water;1
107;The Comedian;0
108;The Legend of Tarzan;0
109;All We Had;0
110;Ex Machina;1
111;The Belko Experiment;0
112;12 Years a Slave;1
113;The Bad Batch;1
114;300;0
115;Harry Potter and the Deathly Hallows: Part 2;1
116;Office Christmas Party;0
117;The Neon Demon;0
118;Dangal;0
119;10 Cloverfield Lane;1
120;Finding Dory;1
121;Miss Peregrine's Home for Peculiar Children;1
122;Divergent;0
123;Mike and Dave Need Wedding Dates;0
124;Boyka: Undisputed IV;0
125;The Dark Knight Rises;1
126;The Jungle Book;1
127;Transformers: Age of Extinction;0
128;Nerve;1
129;Mamma Mia!;0
130;The Revenant;1
131;Fences;1
132;Into the Woods;1
133;The Shallows;1
134;Whiplash;1
135;Furious 6;1
136;The Place Beyond the Pines;1
137;No Country for Old Men;1
138;The Great Gatsby;1
139;Shutter Island;1
140;Brimstone;0
141;Star Trek;1
142;Diary of a Wimpy Kid;1
143;The Big Short;1
144;Room;1
145;Django Unchained;1
146;Ah-ga-ssi;1
147;The Edge of Seventeen;1
148;Watchmen;1
149;Superbad;1
150;Inferno;0
151;The BFG;1
152;The Hunger Games;1
153;White Girl;1
154;Sicario;1
155;Twin Peaks: The Missing Pieces;0
156;Aliens vs Predator - Requiem;0
157;Pacific Rim;1
158;Crazy, Stupid, Love.;1
159;Scott Pilgrim vs. the World;1
160;Hot Fuzz;1
161;Mine;0
162;Free Fire;1
163;X-Men: Days of Future Past;1
164;Jack Reacher: Never Go Back;0
165;Casino Royale;1
166;Twilight;1
167;Now You See Me 2;0
168;Woman in Gold;0
169;13 Hours;0
170;Spectre;1
171;Nightcrawler;1
172;Kubo and the Two Strings;1
173;Beyond the Gates;1
174;Her;1
175;Frozen;1
176;Tomorrowland;1
177;Dawn of the Planet of the Apes;1
178;Tropic Thunder;1
179;The Conjuring 2;1
180;Ant-Man;1
181;Bridget Jones's Baby;1
182;The VVitch: A New-England Folktale;1
183;Cinderella;1
184;Realive;0
185;Forushande;1
186;Love;0
187;Billy Lynn's Long Halftime Walk;0
188;Crimson Peak;1
189;Drive;1
190;Trainwreck;1
191;The Light Between Oceans;1
192;Below Her Mouth;0
193;Spotlight;1
194;Morgan;0
195;Warrior;1
196;Captain America: The First Avenger;1
